,Month_Year,County,Year,Month,State,FIPS_Code,Dosage_Industry,Dosage_Purdue,MME_Industry,MME_Purdue,Volume_Industry,Volume_Purdue
155,2006m11,DALLAS,2006,11,AL,AL047,106420.0,4000.0,639819.1335000008,240710.25,862435.0,179000.0
156,2006m11,DE KALB,2006,11,AL,AL049,205580.0,1900.0,1431072.618862501,135819.75,1878083.55,101000.0
157,2006m11,ELMORE,2006,11,AL,AL051,167270.0,1000.0,1131310.5930000015,57824.25,1514380.0,43000.0
158,2006m11,ESCAMBIA,2006,11,AL,AL053,122870.0,3800.0,888647.7518625006,180196.5,1163288.55,134000.0
159,2006m11,ETOWAH,2006,11,AL,AL055,586350.0,10400.0,5838564.739537496,630687.75,6617759.85,469000.0
160,2006m11,FAYETTE,2006,11,AL,AL057,32200.0,1900.0,214252.19999999984,102201.0,264750.0,76000.0
161,2006m11,FRANKLIN,2006,11,AL,AL059,189650.0,1300.0,1267823.0183625016,67237.5,1711103.55,50000.0
162,2006m11,GENEVA,2006,11,AL,AL061,68700.0,900.0,488714.6702250003,34963.5,630967.1,26000.0
163,2006m11,GREENE,2006,11,AL,AL063,4490.0,100.0,22722.7575,2689.5,34175.0,2000.0
164,2006m11,HALE,2006,11,AL,AL065,20800.0,,204032.17886249995,,233233.55,
165,2006m11,HENRY,2006,11,AL,AL067,31720.0,100.0,206086.71,5379.0,287900.0,4000.0
166,2006m11,HOUSTON,2006,11,AL,AL069,310680.0,3600.0,2298602.868862496,193644.0,2804083.55,144000.0
167,2006m11,JACKSON,2006,11,AL,AL071,429900.0,2300.0,2683104.6329999967,153301.5,3939855.0,114000.0
168,2006m11,JEFFERSON,2006,11,AL,AL073,2006658.0,43900.0,16616281.451250339,2517372.0,19645156.000000007,1872000.0
169,2006m11,LAMAR,2006,11,AL,AL075,18500.0,200.0,133831.17408749997,4034.25,159450.65,3000.0
170,2006m11,LAUDERDALE,2006,11,AL,AL077,454770.0,3800.0,2833040.1134999944,229952.25,4033985.0,171000.0
171,2006m11,LAWRENCE,2006,11,AL,AL079,151880.0,1400.0,990084.840000001,59169.0,1376350.0,44000.0
172,2006m11,LEE,2006,11,AL,AL081,162790.0,1400.0,1018086.3758625018,79340.25,1315678.55,59000.0
173,2006m11,LIMESTONE,2006,11,AL,AL083,166600.0,2200.0,1321880.1375000007,153301.5,1638500.0,114000.0
174,2006m11,LOWNDES,2006,11,AL,AL085,4800.0,,31088.475,,39750.0,
175,2006m11,MACON,2006,11,AL,AL087,24630.0,100.0,171398.49386250004,10758.0,226958.55,8000.0
176,2006m11,MADISON,2006,11,AL,AL089,828450.0,9200.0,6493070.551087488,455870.25,7748445.649999999,339000.0
177,2006m11,MARENGO,2006,11,AL,AL091,40500.0,100.0,219299.68567499996,2689.5,307901.3,2000.0
178,2006m11,MARION,2006,11,AL,AL093,380300.0,2700.0,2382692.624999999,127751.25,3494250.0,95000.0
179,2006m11,MARSHALL,2006,11,AL,AL095,518980.0,4400.0,3538761.4352249866,285087.0,4750567.1,212000.0
180,2006m11,MOBILE,2006,11,AL,AL097,1344288.0,20360.0,8017386.755399981,1147340.7,11644628.4,853200.0
181,2006m11,MONROE,2006,11,AL,AL099,43880.0,600.0,336149.30250000017,25550.25,430600.0,19000.0
182,2006m11,MONTGOMERY,2006,11,AL,AL101,551980.0,4900.0,4426627.518224968,267605.25,5312172.1,199000.0
183,2006m11,MORGAN,2006,11,AL,AL103,624290.0,4000.0,4588655.111362486,221883.75,6124408.55,165000.0
184,2006m11,PERRY,2006,11,AL,AL105,12600.0,500.0,78252.15,26895.0,103000.0,20000.0
185,2006m11,PICKENS,2006,11,AL,AL107,29120.0,900.0,188105.45999999982,37653.0,249650.0,28000.0
186,2006m11,PIKE,2006,11,AL,AL109,63990.0,1300.0,424493.33249999984,59169.0,563925.0,44000.0
187,2006m11,RANDOLPH,2006,11,AL,AL111,62800.0,800.0,397543.3124999998,29584.5,545750.0,22000.0
188,2006m11,RUSSELL,2006,11,AL,AL113,159600.0,2100.0,1012239.6735000018,143888.25,1347535.0,107000.0
189,2006m11,SHELBY,2006,11,AL,AL117,612242.0,22700.0,5540913.376087481,1580081.25,6336330.649999999,1175000.0
190,2006m11,SUMTER,2006,11,AL,AL119,14430.0,,89688.8025,,120975.0,
